scenario,method,num_synthetic_seeds,accuracy_mean,accuracy_std,signal_selected_mean,junk_selected_mean,spurious_selected_mean,signal_recall_mean,signal_precision_mean,k,requested_k,num_features,num_signal_features,num_junk_features,num_spurious_features,p_in,p_out
weak_graph_strong_features,Graph-aware mutual_info,3,0.3844444444444444,0.04085505846855609,7.0,249.0,0.0,0.7777777777777778,0.02734375,256,256,509,9,500,0,0.04,0.03
weak_graph_strong_features,PCA,3,0.47555555555555556,0.038618104882183896,,,,,,256,256,509,9,500,0,0.04,0.03
weak_graph_strong_features,Autoencoder,3,0.5488888888888889,0.01662958838566198,,,,,,256,256,509,9,500,0,0.04,0.03
weak_graph_strong_features,Learned mask,3,0.3755555555555556,0.03281071791162978,,,,,,256,256,509,9,500,0,0.04,0.03
few_signal_features,No selection,3,0.4977777777777777,0.23255956359024232,,,,,,256,256,503,3,500,0,0.08,0.01
few_signal_features,Raw l1,3,0.94,0.047453681120139174,3.0,253.0,0.0,1.0,0.01171875,256,256,503,3,500,0,0.08,0.01
few_signal_features,Graph-aware l1,3,0.8733333333333334,0.1369509238944942,3.0,253.0,0.0,1.0,0.01171875,256,256,503,3,500,0,0.08,0.01
few_signal_features,Raw mutual_info,3,0.8733333333333334,0.07678734463631554,2.3333333333333335,253.66666666666666,0.0,0.7777777777777777,0.009114583333333334,256,256,503,3,500,0,0.08,0.01
few_signal_features,Graph-aware mutual_info,3,0.9755555555555556,0.0031426968052735123,3.0,253.0,0.0,1.0,0.01171875,256,256,503,3,500,0,0.08,0.01
few_signal_features,PCA,3,0.9688888888888889,0.008314794192830984,,,,,,256,256,503,3,500,0,0.08,0.01
few_signal_features,Autoencoder,3,0.9422222222222222,0.011331154474650657,,,,,,256,256,503,3,500,0,0.08,0.01
few_signal_features,Learned mask,3,0.7422222222222222,0.2899467809831127,,,,,,256,256,503,3,500,0,0.08,0.01
train_only_spurious,No selection,3,0.4955555555555555,0.22941686678496875,,,,,,256,256,536,6,500,30,0.08,0.01
train_only_spurious,Raw l1,3,0.9644444444444445,0.008314794192830986,5.0,221.33333333333334,29.666666666666668,0.8333333333333334,0.01953125,256,256,536,6,500,30,0.08,0.01
train_only_spurious,Graph-aware l1,3,0.9733333333333333,0.0054433105395181635,5.333333333333333,229.33333333333334,21.333333333333332,0.888888888888889,0.020833333333333332,256,256,536,6,500,30,0.08,0.01
train_only_spurious,Raw mutual_info,3,0.971111111111111,0.013698697784375501,3.0,223.0,30.0,0.5,0.01171875,256,256,536,6,500,30,0.08,0.01
train_only_spurious,Graph-aware mutual_info,3,0.9755555555555556,0.011331154474650655,5.333333333333333,221.66666666666666,29.0,0.888888888888889,0.020833333333333332,256,256,536,6,500,30,0.08,0.01
train_only_spurious,PCA,3,0.9577777777777777,0.008314794192830986,,,,,,256,256,536,6,500,30,0.08,0.01
train_only_spurious,Autoencoder,3,0.9644444444444445,0.0031426968052735644,,,,,,256,256,536,6,500,30,0.08,0.01
train_only_spurious,Learned mask,3,0.9666666666666667,0.005443310539518209,,,,,,256,256,536,6,500,30,0.08,0.01
anti_spurious_test,No selection,3,0.5533333333333333,0.3111269837220809,,,,,,256,256,536,6,500,30,0.08,0.01
anti_spurious_test,Raw l1,3,0.9933333333333333,0.0054433105395181635,5.0,221.33333333333334,29.666666666666668,0.8333333333333334,0.01953125,256,256,536,6,500,30,0.08,0.01
anti_spurious_test,Graph-aware l1,3,0.9933333333333333,0.0054433105395181635,5.666666666666667,226.66666666666666,23.666666666666668,0.9444444444444445,0.022135416666666668,256,256,536,6,500,30,0.08,0.01
anti_spurious_test,Raw mutual_info,3,0.9977777777777778,0.003142696805273565,3.0,223.0,30.0,0.5,0.01171875,256,256,536,6,500,30,0.08,0.01
anti_spurious_test,Graph-aware mutual_info,3,0.9955555555555556,0.0062853936105470775,5.333333333333333,221.0,29.666666666666668,0.888888888888889,0.020833333333333332,256,256,536,6,500,30,0.08,0.01
anti_spurious_test,PCA,3,0.9866666666666667,0.010886621079036327,,,,,,256,256,536,6,500,30,0.08,0.01
anti_spurious_test,Autoencoder,3,0.991111111111111,0.008314794192830984,,,,,,256,256,536,6,500,30,0.08,0.01
anti_spurious_test,Learned mask,3,0.9933333333333333,0.0054433105395181635,,,,,,256,256,536,6,500,30,0.08,0.01
